	实部	虚部	幅值	相位
	-138905.187500	0.000000	11.575432	180.000000
	1634.806152	11.436598	0.136237	0.400817
	1638.822754	62.329376	0.136667	2.178082
	1669.724854	8.488194	0.139146	0.291266
	1639.465820	40.487350	0.136664	1.414658
	1589.954590	22.859337	0.132510	0.823705
	1614.542114	56.995281	0.134629	2.021770
	1612.364014	74.140587	0.134506	2.632751
	1633.650146	50.122097	0.136202	1.757343
	1627.739014	83.115288	0.135822	2.923087
	1615.499146	66.634689	0.134739	2.361947
	1661.500732	86.733147	0.138647	2.988224
	1633.741943	117.413582	0.136496	4.110659
	1641.162109	109.506470	0.137068	3.817400
	1628.608398	90.180809	0.135925	3.169398
	1618.309692	71.861252	0.134992	2.542556
	1613.016602	84.751724	0.134603	3.007691
	1628.564331	71.014938	0.135843	2.496850
	1622.542969	131.553009	0.135656	4.635304
	1641.439819	114.081329	0.137117	3.975708
	1605.238281	121.194557	0.134151	4.317607
	1627.487061	131.451569	0.136066	4.617736
	1600.873779	144.746201	0.133950	5.166464
	1622.197998	132.130936	0.135631	4.656564
	1634.150513	146.337219	0.136724	5.117154
	1652.489502	177.178497	0.138497	6.119824
	1623.264648	174.906006	0.136055	6.149867
	1624.614746	163.841736	0.136071	5.758785
	1606.104492	186.918137	0.134745	6.638210
	1614.921021	168.896606	0.135311	5.970577
	1605.509277	185.155243	0.134679	6.578570
	1623.951172	195.796082	0.136309	6.874837
	1621.532715	188.601440	0.136039	6.634297
	1604.055786	216.877380	0.134888	7.700019
	1628.822632	219.874954	0.136966	7.687891
	1606.957275	231.617126	0.135297	8.201783
	1627.284546	234.423370	0.137007	8.197519
	1632.395020	231.400131	0.137393	8.068207
	1633.181641	260.560242	0.137820	9.064661
	1624.172607	236.662552	0.136777	8.290376
	1615.633423	246.097076	0.136189	8.660854
	1610.446655	259.831848	0.135939	9.165204
	1614.618408	271.785095	0.136444	9.554898
	1629.867310	263.352905	0.137584	9.178487
	1613.999878	250.000275	0.136104	8.804850
	1656.604736	216.528656	0.139225	7.446703
	2081.864014	-423.673737	0.177045	-11.503005
	1561.959473	397.991211	0.134322	14.294928
	1581.181641	350.235992	0.134959	12.489516
	1589.028564	348.279846	0.135562	12.362479
	1557.171387	363.490234	0.133253	13.139265
	1581.150269	355.403900	0.135050	12.668142
	1583.423584	361.205536	0.135342	12.850245
	1591.402222	347.750610	0.135746	12.326421
	1598.961914	364.758728	0.136670	12.850538
	1590.117310	379.425720	0.136230	13.420673
	1579.964966	382.727478	0.135472	13.616914
	1578.069580	396.784668	0.135599	14.113694
	1576.883301	390.416229	0.135375	13.906062
	1575.744263	410.821594	0.135701	14.612630
	1581.033813	410.479309	0.136121	14.554204
	1573.235840	441.194122	0.136161	15.665483
	1565.798218	482.636810	0.136541	17.131229
	924.783325	364.795837	0.082844	21.527563
	-111509.718750	-21594.298828	9.465116	-169.040115
	937.743652	218.138596	0.080232	13.095295
	1590.536743	385.604187	0.136384	13.627660
	1590.051270	414.035034	0.136923	14.595198
	1580.142456	434.808655	0.136573	15.385334
	1567.179443	430.916565	0.135445	15.374289
	1569.828125	439.572144	0.135851	15.642933
	1562.913940	470.996277	0.136028	16.770588
	1568.298096	477.846191	0.136623	16.945503
	1567.004761	465.644806	0.136227	16.549631
	1570.471924	471.450867	0.136642	16.709597
	1556.629883	495.040558	0.136121	17.641743
	1557.014160	509.081482	0.136511	18.105679
	1549.761230	492.819092	0.135519	17.640497
	1530.598267	516.496704	0.134616	18.646843
	1553.064453	505.033813	0.136093	18.013767
	1559.362305	512.162109	0.136776	18.182421
	1559.728760	518.510315	0.136971	18.388674
	1556.466553	527.927490	0.136963	18.736080
	1552.611206	531.230957	0.136748	18.888548
	1561.529663	539.481567	0.137675	19.059149
	1563.427490	544.032227	0.137948	19.186571
	1565.609863	542.629822	0.138082	19.115973
	1564.470459	559.963806	0.138472	19.693581
	1573.727295	546.120911	0.138816	19.137995
	1593.710083	562.062622	0.140827	19.426502
	1640.685547	547.689148	0.144140	18.459900
	1750.260376	530.572021	0.152409	16.864098
	2842.203857	327.791534	0.238420	6.578860
	1102.971191	669.243042	0.107511	31.247864
	1325.980713	638.595642	0.122645	25.715584
	1375.302368	635.121216	0.126239	24.787718
	1403.602905	633.324951	0.128323	24.285553
	1429.517090	635.335022	0.130362	23.962292
	1426.715820	634.208130	0.130110	23.966253
	1424.311035	638.201660	0.130063	24.136076
	1421.323608	653.835205	0.130375	24.703308
	1438.608154	655.608276	0.131746	24.499893
	1429.887939	654.914856	0.131061	24.608646
	1441.360352	671.273438	0.132501	24.972439
	1439.318848	675.618591	0.132500	25.145437
	1426.877319	683.968689	0.131861	25.610569
	1423.216919	683.175415	0.131558	25.642029
	1421.470459	686.540894	0.131548	25.779585
	1433.659790	699.293701	0.132926	26.001650
	1424.183838	711.849731	0.132681	26.557257
	1423.290039	719.476379	0.132900	26.816702
	1434.447876	709.328186	0.133354	26.312195
	1419.406006	719.059204	0.132596	26.866392
	1415.852539	713.343628	0.132117	26.740164
	1416.310303	723.806641	0.132545	27.069345
	1404.234253	727.798096	0.131803	27.397177
	1413.252686	746.756958	0.133201	27.851791
	1396.687866	749.488708	0.132090	28.218834
	1398.446777	741.923950	0.131922	27.947483
	1398.932861	764.532104	0.132851	28.657087
	1401.038818	762.657227	0.132931	28.561716
	1381.011719	776.914795	0.132046	29.360771
	1380.983521	787.513550	0.132479	29.694193
	1378.803467	789.591736	0.132407	29.798233
	1370.178345	787.188171	0.131684	29.878017
	1386.346436	804.272339	0.133563	30.119652
	1363.595215	812.304321	0.132267	30.782591
	1363.812500	810.421997	0.132203	30.720169
	1336.826416	682.236816	0.125071	27.037069
	1343.941406	837.838135	0.131976	31.940182
	1341.368896	822.645081	0.131128	31.520279
	1338.846680	842.019714	0.131801	32.166374
	1324.971924	854.094788	0.131366	32.806377
	1314.376953	868.267212	0.131272	33.448441
	1305.040527	888.106384	0.131547	34.236076
	1287.349976	906.754150	0.131220	35.159225
	1254.275146	943.829773	0.130810	36.961105
	1180.051758	1018.378906	0.129894	40.794037
	683.798035	1546.657349	0.140923	66.149132
	1663.076904	519.402832	0.145192	17.344337
	1460.076904	724.773376	0.135839	26.399525
	1408.447510	785.913635	0.134407	29.161516
	1373.005371	807.668335	0.132745	30.466106
	1372.474487	823.883911	0.133398	30.976011
	1358.736938	841.406982	0.133180	31.768143
	1339.085693	852.233948	0.132273	32.473888
	1335.233032	859.849487	0.132345	32.780304
	1330.167236	867.444702	0.132335	33.109661
	1321.115112	878.061707	0.132191	33.609478
	1305.403076	883.770874	0.131369	34.098392
	1290.784668	926.028564	0.132383	35.656231
	1298.806274	904.002014	0.131870	34.838894
	1305.190552	910.904907	0.132635	34.911556
	1286.246704	906.474365	0.131131	35.174030
	1286.460938	921.084412	0.131851	35.602028
	1281.557007	927.809265	0.131846	35.903423
	1277.133057	928.376648	0.131576	36.014244
	1274.672485	928.624023	0.131422	36.074074
	1265.596436	941.083679	0.131428	36.634090
	1267.299194	941.383423	0.131557	36.605946
	1255.525269	942.758728	0.130840	36.902439
	1254.589355	956.687134	0.131478	37.327332
	1246.625732	958.010681	0.131018	37.541664
	1243.916016	970.604614	0.131482	37.964256
	1241.002075	969.493530	0.131234	37.997608
	1227.273193	985.463379	0.131163	38.763412
	1217.701050	991.994507	0.130885	39.167824
	1228.150757	981.868042	0.131033	38.641239
	1222.739502	993.829224	0.131307	39.103832
	1215.133911	1001.867676	0.131241	39.505295
	1213.022705	994.472046	0.130714	39.345921
	1198.499023	1008.489746	0.130529	40.079292
	1193.363892	1006.001160	0.130068	40.130760
	1182.940430	1027.152832	0.130554	40.967941
	1180.844238	1025.682617	0.130342	40.977619
	1184.995850	1026.448730	0.130645	40.899258
	1169.947266	1029.942383	0.129892	41.358505
	1164.514648	1027.337280	0.129409	41.418808
	1150.519043	1040.806030	0.129287	42.133766
	1146.509521	1052.421143	0.129692	42.549911
	1131.411011	1053.798096	0.128846	42.965858
	1108.733521	1048.440186	0.127162	43.398991
	1086.959595	1059.956787	0.126518	44.279404
	1032.262695	1064.850098	0.123588	45.890259
	779.600769	1039.946045	0.108310	53.142754
	1432.781494	1078.885986	0.149463	36.979786
	1235.746826	1085.433105	0.137063	41.294846
	1203.307617	1092.640259	0.135447	42.240414
	1172.627075	1096.231567	0.133770	43.071507
	1155.379272	1114.973389	0.133803	43.980404
	1108.908081	1143.159302	0.132720	45.871334
	620.271973	821.938354	0.085810	52.960140
	-83916.593750	-58006.906250	8.501142	-145.346039
	709.406006	711.654907	0.083737	45.090675
	1176.023560	1054.197510	0.131613	41.873322
	1144.351318	1089.242676	0.131656	43.586651
	1132.323975	1104.565430	0.131820	44.289028
	1123.014771	1113.817871	0.131808	44.764423
	1110.504883	1116.792725	0.131245	45.161751
	1101.479858	1114.798340	0.130598	45.344307
	1091.967163	1117.708984	0.130215	45.667442
	1092.936279	1122.143799	0.130536	45.755444
	1082.505127	1124.732788	0.130087	46.096020
	1063.085571	1131.948730	0.129407	46.796909
	1062.410522	1135.890869	0.129608	46.914455
	1061.643921	1141.235352	0.129891	47.069237
	1050.094482	1144.027832	0.129408	47.451416
	1049.576294	1145.066162	0.129443	47.491394
	1039.523071	1148.032227	0.129061	47.839710
	1047.089111	1160.098755	0.130230	47.931026
	1036.718994	1162.775879	0.129819	48.280136
	1025.725464	1166.503662	0.129444	48.674313
	1028.508789	1173.426392	0.130031	48.765419
	1014.669189	1175.320190	0.129393	49.195530
	1024.744019	1176.254150	0.130002	48.937859
	1009.103760	1183.328613	0.129598	49.543545
	1007.897034	1180.398804	0.129347	49.507263
	997.375854	1184.252075	0.129024	49.895954
	991.142944	1176.628906	0.128204	49.890614
	991.273438	1180.477173	0.128456	49.979061
	982.878845	1189.046753	0.128557	50.422501
	993.168152	1182.654053	0.128697	49.977165
	981.668640	1194.861572	0.128867	50.594322
	971.213562	1194.434204	0.128288	50.884888
	977.705933	1198.514526	0.128893	50.793644
	981.536499	1195.185303	0.128881	50.605721
	981.838989	1189.600342	0.128538	50.465374
	999.285767	1182.820312	0.129036	49.807770
	1003.880737	1153.668335	0.127441	48.971382
	1067.817505	1132.163940	0.129691	46.675346
	1343.130859	935.632080	0.136407	34.861275
	364.356689	1615.070068	0.137972	77.287010
	736.945618	1363.710449	0.129175	61.613327
	796.958252	1332.618896	0.129395	59.118927
	783.876587	1328.490479	0.128543	59.457249
	838.698730	1291.360107	0.128318	56.997513
	832.291504	1290.385010	0.127959	57.178200
	839.132263	1289.415283	0.128202	56.944523
	829.069153	1286.313965	0.127529	57.196968
	825.820312	1292.987671	0.127851	57.433975
	816.543274	1288.530518	0.127122	57.637524
	817.043335	1275.161377	0.126205	57.350803
	813.144348	1303.715576	0.128043	58.047676
	814.912170	1294.469238	0.127468	57.808201
	805.740356	1286.988037	0.126534	57.950691
	804.096558	1290.735718	0.126726	58.078110
	809.254822	1291.840820	0.127032	57.935516
	798.253113	1295.406494	0.126801	58.357868
	787.779663	1308.827515	0.127302	58.956383
	795.345520	1308.416748	0.127599	58.705894
	768.612366	1303.734497	0.126120	59.478668
	773.035522	1311.165039	0.126840	59.477287
	763.311523	1313.990967	0.126634	59.847233
	760.761475	1313.492920	0.126492	59.921024
	761.553101	1315.014038	0.126634	59.923943
	741.189331	1313.933594	0.125714	60.572674
	741.165894	1149.351562	0.113967	57.183823
	737.018311	1322.942383	0.126199	60.877586
	737.156982	1321.738647	0.126117	60.850819
	727.805786	1333.538452	0.126602	61.375595
	719.868591	1336.993408	0.126539	61.700939
	713.124512	1326.287231	0.125488	61.733757
	708.244812	1339.730591	0.126285	62.136955
	698.545105	1333.062500	0.125417	62.344780
	697.068115	1341.440063	0.125979	62.541733
	693.338623	1338.921143	0.125649	62.623356
	684.794312	1348.558472	0.126039	63.078663
	680.393005	1358.654907	0.126625	63.399014
	677.378418	1349.854126	0.125857	63.351768
	665.445923	1353.858032	0.125713	63.825047
	659.500183	1356.685059	0.125707	64.075081
	646.460388	1364.625366	0.125834	64.651802
	641.588013	1362.896118	0.125530	64.791130
	630.485901	1367.098145	0.125457	65.241531
	626.546448	1377.035767	0.126073	65.534637
	605.645630	1395.916260	0.126803	66.545448
	556.886841	1468.416504	0.130872	69.231110
	757.055481	1163.781860	0.115696	56.955467
	652.527588	1317.054321	0.122487	63.644127
	622.914429	1334.539307	0.122730	64.978546
	619.219849	1335.905640	0.122703	65.131302
	618.175171	1342.393066	0.123158	65.273819
	605.333191	1357.271973	0.123845	65.963478
	593.022156	1360.824585	0.123702	66.453323
	579.828613	1360.868774	0.123270	66.922485
	580.040710	1363.511841	0.123480	66.955002
	576.460022	1372.887085	0.124083	67.223007
	569.906128	1371.462402	0.123763	67.434853
	566.221680	1372.899902	0.123757	67.587402
	552.689575	1377.354858	0.123676	68.135948
	545.988403	1374.303955	0.123232	68.332886
	538.440186	1368.318970	0.122537	68.520119
	538.430359	1381.864746	0.123588	68.712097
	521.742493	1382.674683	0.123153	69.326355
	512.611267	1388.977295	0.123379	69.743080
	521.475403	1373.492920	0.122430	69.209686
	507.197052	1379.559814	0.122487	69.813980
	507.350128	1381.860352	0.122671	69.839287
	491.681274	1381.443359	0.122195	70.408417
	490.553223	1382.818359	0.122271	70.467918
	488.675568	1382.249756	0.122174	70.529648
	473.842468	1389.937988	0.122374	71.175293
	481.151459	1393.429321	0.122847	70.950195
	467.863007	1389.441162	0.122175	71.390205
	451.882568	1394.404419	0.122150	72.044128
	451.823303	1401.737061	0.122730	72.134262
	445.702118	1397.886353	0.122268	72.315643
	442.261658	1394.778809	0.121935	72.407028
	430.200439	1400.981567	0.122129	72.929810
	426.738800	1403.057861	0.122210	73.082909
	417.380798	1410.072876	0.122546	73.511276
	409.194061	1403.866211	0.121857	73.749832
	399.792114	1403.147461	0.121583	74.096413
	385.801270	1408.308228	0.121683	74.679878
	387.249359	1411.385376	0.121962	74.657028
	375.735657	1413.682617	0.121897	75.115761
	365.217621	1413.614746	0.121669	75.513985
	348.337952	1427.888916	0.122480	76.290298
	302.420837	1440.050659	0.122622	78.139832
	59.488659	991.408630	0.082766	86.566132
	-39414.785156	-77577.492188	7.251337	-116.933739
	123.783813	955.258118	0.080270	82.616661
	262.271301	1433.384033	0.121432	79.631096
	875.784241	1265.091309	0.128221	55.306324
	455.336304	1375.720703	0.120760	71.686485
	404.722473	1395.404297	0.121076	73.825752
	383.689331	1404.093506	0.121298	74.716217
	362.450012	1399.336182	0.120460	75.478622
	349.848053	1400.939087	0.120330	75.978645
	343.220764	1402.508789	0.120325	76.248878
	328.238831	1403.880615	0.120145	76.840172
	311.033356	1405.746826	0.119979	77.523819
	316.963867	1398.703247	0.119514	77.231705
	305.407013	1405.423096	0.119852	77.739891
	294.024017	1403.614380	0.119507	78.168961
	284.369324	1404.515747	0.119418	78.554169
	286.207275	1415.416260	0.120339	78.568527
	269.201019	1407.397095	0.119409	79.171494
	269.725159	1408.883423	0.119539	79.162094
	256.168152	1406.349854	0.119124	79.676689
	259.516968	1403.551392	0.118945	79.524307
	241.395142	1404.503052	0.118758	80.247726
	238.191742	1409.081055	0.119089	80.405396
	234.133591	1407.638306	0.118915	80.556404
	230.441498	1408.269653	0.118917	80.706802
	216.181396	1411.772461	0.119019	81.294060
	211.250671	1411.788330	0.118959	81.489777
	209.199158	1413.733398	0.119094	81.582664
	202.202698	1404.997925	0.118289	81.810410
	191.351746	1410.730713	0.118637	82.275528
	190.565063	1401.098999	0.117833	82.254662
	187.525940	1403.023193	0.117958	82.387054
	183.783813	1398.737915	0.117563	82.514641
	171.853287	1404.735596	0.117934	83.025177
	167.971924	1396.378906	0.117204	83.140785
	159.660309	1406.622803	0.117971	83.524292
	158.337326	1398.852051	0.117315	83.542130
	143.976013	1400.647461	0.117336	84.131042
	146.997833	1395.492798	0.116934	83.986778
	136.137177	1399.256348	0.117155	84.443039
	130.628632	1397.708130	0.116983	84.660698
	134.012100	1394.103882	0.116711	84.509155
	115.122360	1391.026733	0.116315	85.268944
	114.228134	1400.617554	0.117106	85.337532
	108.603577	1395.597290	0.116651	85.550285
	103.314255	1394.894653	0.116560	85.764061
	103.472031	1386.792969	0.115887	85.732933
	118.131805	1378.409912	0.115289	85.101639
	147.026428	1367.453735	0.114611	83.863228
	-460.489441	1595.311890	0.138370	106.100868
	14.378031	1413.346191	0.117785	89.417152
	38.160465	1410.919922	0.117620	88.450722
	26.742159	1405.138916	0.117116	88.909698
	32.197414	1398.239380	0.116551	88.680878
	32.303833	1395.726562	0.116342	88.674141
	29.744400	1390.361328	0.115890	88.774445
	15.763762	1388.781860	0.115739	89.349670
	16.471331	1390.938843	0.115920	89.321541
	13.797153	1387.223877	0.115608	89.430161
	2.911224	1390.192627	0.115850	89.880020
	-3.749207	1391.873535	0.115990	90.154335
	-5.728273	1388.560059	0.115714	90.236359
	-9.921688	1385.051514	0.115424	90.410423
	-13.392151	1377.969971	0.114836	90.556831
	15.123657	1233.200195	0.102774	89.297379
	-26.023643	1381.902588	0.115179	91.078850
